Domain,External or Internal,Dedupping
166688199.log.optimizely.com,External,Duplicate
166688199.log.optimizely.com,External,Keep
4720818.fls.doubleclick.net,External,Keep
4844720.fls.doubleclick.net,External,Keep
5942243.fls.doubleclick.net,External,Keep
68.media.tumblr.com,External,Keep
a.mobify.com,External,Keep
aa.agkn.com,External,Duplicate
aa.agkn.com,External,Duplicate
aa.agkn.com,External,Duplicate
aa.agkn.com,External,Duplicate
aa.agkn.com,External,Duplicate
aa.agkn.com,External,Duplicate
aa.agkn.com,External,Duplicate
aa.agkn.com,External,Keep
abs.twimg.com,External,Duplicate
abs.twimg.com,External,Duplicate
abs.twimg.com,External,Duplicate
abs.twimg.com,External,Duplicate
abs.twimg.com,External,Duplicate
abs.twimg.com,External,Duplicate
abs.twimg.com,External,Duplicate
abs.twimg.com,External,Duplicate
abs.twimg.com,External,Duplicate
abs.twimg.com,External,Duplicate
abs.twimg.com,External,Keep
accounts.google.com,External,Duplicate
accounts.google.com,External,Duplicate
accounts.google.com,External,Duplicate
accounts.google.com,External,Duplicate
accounts.google.com,External,Keep
activenetwork.122.2o7.net,External,Keep
ad.doubleclick.net,External,Keep
admin.brightcove.com,External,Duplicate
admin.brightcove.com,External,Keep
ago-item-storage.s3-external-1.amazonaws.com,External,Keep
ajax.aspnetcdn.com,External,Duplicate
ajax.aspnetcdn.com,External,Duplicate
ajax.aspnetcdn.com,External,Duplicate
ajax.aspnetcdn.com,External,Duplicate
ajax.aspnetcdn.com,External,Duplicate
ajax.aspnetcdn.com,External,Duplicate
ajax.aspnetcdn.com,External,Duplicate
ajax.aspnetcdn.com,External,Duplicate
ajax.aspnetcdn.com,External,Keep
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
ajax.googleapis.com,External,Duplicate
